sel;sta;tip;ny;name;uhom;nsx;pn;qn;pg;qg;vzd;qmin;qmax;bshr;gshr;vras;delta;qnr;pnr 
0;0;Нагр;6208;отп. Л-202 на ПС 220 кВ Чернышевская;220;0;;;;;;;;;;241.03;-48.83;; 
0;0;Нагр;6209;отп. Л-201 на ПС 220 кВ Чернышевская;220;0;;;;;;;;;;241.06;-48.88;; 
0;0;Нагр;6104;ПС 220 кВ ГПП-6 2СШ-110 кВ;110;70629;56.4;15.9;;;;;;;;117.23;-67.89;21;61 
0;0;Нагр;6103;ПС 220 кВ ГПП-6 1СШ-110 кВ;110;70628;56.4;15.9;;;;;;;;116.91;-68.46;19;62 
0;0;Нагр;6502;ПС 220 кВ Айхал 3СШ-10 кВ, 4СШ-10 кВ;10;2;1.1;;;10;;-8;15;;;10.94;-62.56;;1 
0;0;Нагр;6503;ПС 220 кВ Айхал 1СШ-10 кВ, 2СШ-10 кВ;10;2;1.1;;;;;;;;;11.17;-62.77;;1 
0;0;Нагр;6505;ПС 220 кВ ГПП-6 1СШ-6 кВ, 3СШ-6 кВ;6;70626;29.1;8.2;;;;;;;;5.72;-73.55;7;29 
0;0;Нагр;6507;ПС 220 кВ ГПП-6 2СШ-6 кВ, 4СШ-6 кВ;6;70627;29.1;8.2;;;;;;;;5.79;-71.11;8;29 
0;0;Нагр;6211;ПС 220 кВ НПС-11 1СШ-220 кВ;220;1;7.3;1.9;;;;;;;;241.78;-56.15;2;8 
0;0;Нагр;6221;отп. Л-233 на ПС 220 кВ НПС-11;220;0;;;;;;;;;;241.08;-56.46;; 
0;0;Нагр;6222;отп. Л-234 на ПС 220 кВ НПС-11;220;0;;;;;;;;;;241.79;-56.15;; 
0;0;Ген;6226;ПС 220 кВ Пеледуй 2СШ-220 кВ;220;0;;;;-29.4;240;-63;-1;;;240;-10.15;; 
0;0;Нагр;6225;ПС 220 кВ Пеледуй 1СШ-220 кВ;220;0;;;;-55;;-63;-1;;;240;-10.15;; 
0;0;Нагр;6230;ПС 220 кВ Олёкминск 1СШ-220 кВ;220;0;;;;;;;;520;;227.38;-53.1;; 
0;0;Нагр;6236;ПС 220 кВ Районная с.т. 2АТ;220;0;;;;;;;;;;239.01;-51.91;; 
0;0;Нагр;6237;ПС 220 кВ Районная с.т. 1АТ;220;0;;;;;;;;;;240.23;-51.39;; 
